theta_a,theta_f,coverage,correctness,product,f1,false_alarm_pct,accuracy,refused
0.39,0.6900000000000001,0.8877314814814815,0.5426336375488918,0.481712962962963,0.35372144436256453,33.645833333333336,54.263363754889184,485
0.36000000000000004,0.65,0.8949074074074074,0.5382824624935334,0.48171296296296295,0.36363636363636365,35.520833333333336,53.82824624935334,454
0.38,0.68,0.8893518518518518,0.5413846954711088,0.48148148148148145,0.3578717201166181,34.166666666666664,54.13846954711088,478
0.34,0.6,0.906712962962963,0.5307633392902732,0.48125000000000007,0.36838487972508593,37.604166666666664,53.07633392902732,403
0.37,0.67,0.892824074074074,0.5390199637023594,0.48125,0.35858585858585856,34.89583333333333,53.901996370235935,463
0.36000000000000004,0.66,0.8930555555555556,0.5386210471747019,0.48101851851851857,0.36292054402290624,35.34722222222222,53.862104717470196,462
0.35000000000000003,0.63,0.8976851851851851,0.5358432181536875,0.4810185185185185,0.3670886075949367,36.18055555555556,53.58432181536875,442
0.34,0.61,0.9027777777777778,0.532051282051282,0.48032407407407407,0.36829352717203184,37.15277777777778,53.205128205128204,420
0.39,0.7000000000000001,0.8833333333333333,0.5435010482180294,0.48009259259259257,0.3519345238095238,33.229166666666664,54.35010482180294,504
0.37,0.68,0.8865740740740741,0.5412532637075718,0.47986111111111107,0.3585250091274188,34.166666666666664,54.12532637075718,490
0.34,0.62,0.899074074074074,0.5332131822863028,0.47939814814814813,0.3680724991286162,36.736111111111114,53.321318228630275,436
0.35000000000000003,0.64,0.8930555555555556,0.5368066355624675,0.47939814814814813,0.36563720269790556,35.729166666666664,53.680663556246756,462
0.39,0.7100000000000001,0.8787037037037037,0.5453108535300316,0.47916666666666663,0.35210210210210213,32.673611111111114,54.531085353003164,524
0.38,0.6900000000000001,0.8833333333333333,0.5421907756813418,0.47893518518518524,0.3546361285555966,33.645833333333336,54.219077568134175,504
0.36000000000000004,0.67,0.8877314814814815,0.5392438070404172,0.4787037037037037,0.3600144875045274,34.89583333333333,53.92438070404172,485
0.35000000000000003,0.65,0.8905092592592593,0.5370418507928256,0.4782407407407408,0.3641556586933238,35.520833333333336,53.70418507928256,473
0.34,0.63,0.8939814814814815,0.5346970481615743,0.4780092592592592,0.36747624076029567,36.18055555555556,53.469704816157424,458
0.39,0.7200000000000001,0.8743055555555556,0.5464654487688642,0.47777777777777775,0.35089048882152335,32.22222222222222,54.646544876886416,543
0.33,0.6,0.9011574074074075,0.5299255073208322,0.4775462962962963,0.3694004135079255,37.604166666666664,52.992550732083224,427
0.35000000000000003,0.66,0.8886574074074074,0.5373795259182078,0.47754629629629625,0.3634408602150538,35.34722222222222,53.73795259182078,481
0.39,0.7300000000000001,0.8699074074074075,0.5486961149547632,0.4773148148148149,0.35217723453017574,31.631944444444443,54.86961149547632,562
